timestampMs,keys_pressed,errors,total_correct
1776744359010,0,0,0
1776744360010,0,0,0
1776744361010,2,0,2
1776744362011,2,0,4
1776744363011,2,0,6
1776744364011,2,0,8
1776744365011,1,0,9
1776744366011,2,0,11
1776744367012,1,0,12
1776744368012,2,0,14
1776744369012,2,0,16
1776744370012,1,0,17
1776744371012,2,0,19
1776744372012,1,1,19
1776744373012,1,0,20
1776744374013,1,0,21
1776744375013,2,0,23
1776744376013,2,0,25
1776744377013,1,0,26
1776744378013,2,0,28
1776744379013,1,0,29
1776744380014,2,1,30
1776744381014,1,0,31
1776744382014,1,0,32
1776744383014,2,0,34
1776744384014,1,0,35
1776744385014,2,0,37
1776744386015,2,0,39
1776744387015,2,0,41
1776744388015,1,0,42
1776744389015,2,0,44
1776744390015,1,0,45
1776744391015,3,0,48
1776744392016,1,0,49
1776744393016,1,0,50
1776744394016,1,0,51
1776744395016,1,0,52
1776744396016,2,0,54
1776744397017,1,0,55
1776744398017,1,1,55
1776744399017,2,0,57
1776744400017,1,0,58
1776744401017,1,0,59
1776744402017,1,1,59
1776744403018,0,0,59
1776744404018,2,0,61
1776744405018,1,0,62
1776744406018,2,0,64
1776744407019,2,0,66
1776744408019,1,0,67
1776744409019,2,0,69
1776744410019,1,1,69
1776744411019,0,0,69
1776744412019,1,0,70
1776744413020,2,0,72
1776744414020,1,0,73
1776744415020,2,0,75
1776744416020,1,1,75
1776744417020,1,0,76
1776744418020,1,0,77
1776744419021,2,0,79
1776744420021,2,0,81
1776744421021,2,0,83
1776744422021,2,0,85
1776744423021,2,0,87
1776744424021,2,0,89
1776744425022,1,1,89
1776744426022,1,0,90
1776744427022,2,0,92
1776744428022,1,0,93
1776744429022,2,1,94
1776744430023,0,0,94
1776744431023,2,1,95
1776744432023,0,0,95
1776744433023,0,0,95
1776744434023,2,0,97
1776744435024,1,1,97
1776744436024,1,0,98
1776744437024,1,0,99
1776744438024,2,1,100
1776744439024,1,0,101
1776744440025,1,0,102
1776744441025,1,0,103
1776744442025,1,0,104
1776744443025,2,0,106
1776744444025,1,1,106
1776744445025,1,0,107
1776744446026,2,0,109
1776744447026,1,0,110
1776744448026,1,0,111
1776744449026,1,0,112
1776744450026,2,0,114
1776744451026,1,0,115
1776744452027,1,0,116
1776744453027,2,0,118
1776744454027,1,0,119
1776744455027,1,0,120
1776744456027,1,0,121
1776744457028,1,1,121
1776744458028,1,0,122
1776744459028,2,0,124
1776744460028,2,0,126
1776744461028,1,0,127
1776744462028,1,0,128
1776744463029,2,0,130
1776744464029,1,0,131
1776744465029,1,1,131
1776744466029,0,0,131
1776744467030,1,0,132
1776744468030,1,0,133
1776744469030,2,0,135
1776744470030,1,0,136
1776744471030,2,0,138
1776744472030,2,0,140
1776744473030,1,0,141
1776744474031,1,0,142
1776744475031,2,0,144
1776744476031,1,0,145
1776744477031,2,0,147
1776744478031,0,0,147
1776744479032,1,0,148
1776744480032,1,0,149
1776744481032,2,0,151
1776744482032,1,0,152
1776744483032,1,0,153
1776744484032,2,0,155
1776744485032,1,0,156
1776744486033,1,1,156
1776744487033,0,0,156
1776744488033,1,1,156
1776744489033,1,0,157
1776744490033,1,0,158
1776744491034,2,0,160
1776744492034,1,0,161
1776744493034,2,0,163
1776744494034,1,0,164
1776744495034,2,0,166
1776744496034,1,0,167
1776744497035,2,0,169
1776744498035,1,0,170
1776744499035,1,0,171
1776744500035,1,1,171
1776744501035,1,0,172
1776744502035,1,0,173
1776744503036,1,0,174
1776744504036,1,0,175
1776744505036,1,0,176
1776744506036,1,0,177
1776744507036,1,0,178
1776744508036,2,0,180
1776744509037,1,0,181
1776744510037,2,1,182
1776744511037,0,0,182
1776744512037,2,0,184
1776744513038,1,0,185
1776744514038,1,0,186
1776744515038,1,0,187
1776744516038,1,0,188
1776744517038,2,1,189
1776744518038,1,0,190
1776744519039,2,0,192
1776744520039,1,0,193
1776744521039,2,0,195
1776744522039,1,1,195
1776744523039,0,0,195
1776744524039,1,0,196
1776744525040,2,0,198
1776744526040,1,0,199
1776744527040,1,0,200
1776744528040,0,0,200
1776744529040,1,1,200
1776744530041,1,0,201
1776744531041,2,0,203
1776744532041,0,0,203
1776744533041,1,1,203
1776744534041,1,1,203
1776744535041,1,0,204
1776744536042,1,0,205
1776744537042,2,0,207
1776744538042,1,0,208
1776744539042,1,1,208
1776744540042,1,0,209
1776744541042,1,0,210
1776744542043,1,0,211
1776744543043,2,0,213
1776744544043,1,0,214
1776744545043,1,0,215
1776744546043,2,0,217
1776744547043,1,0,218
1776744548044,0,0,218
1776744549044,2,0,220
1776744550044,1,0,221
1776744551044,2,0,223
1776744552044,1,0,224
1776744553044,2,0,226
1776744554045,0,0,226
1776744555045,1,0,227
1776744556045,2,0,229
1776744557045,1,0,230
1776744558045,1,0,231
1776744559045,2,0,233
1776744560046,1,0,234
1776744561046,1,1,234
1776744562046,0,0,234
1776744563046,1,0,235
1776744564046,2,0,237
1776744565047,1,0,238
1776744566047,1,0,239
1776744567047,1,0,240
1776744568047,2,0,242
1776744569047,2,0,244
1776744570047,1,0,245
1776744571048,1,0,246
1776744572048,1,0,247
1776744573048,2,0,249
1776744574048,1,0,250
1776744575048,1,0,251
1776744576048,2,0,253
1776744577049,1,0,254
1776744578049,1,0,255
1776744579049,2,0,257
1776744580049,1,0,258
1776744581049,2,0,260
1776744582050,2,0,262
1776744583050,1,0,263
1776744584050,1,0,264
1776744585050,2,0,266
1776744586050,1,0,267
1776744587050,1,0,268
1776744588050,2,0,270
1776744589051,2,0,272
1776744590051,1,0,273
1776744591051,2,0,275
1776744592051,1,0,276
1776744593051,1,0,277
1776744594052,1,1,277
1776744595052,0,0,277
1776744596052,1,0,278
1776744597052,2,0,280
1776744598052,1,0,281
1776744599053,2,0,283
1776744600053,2,0,285
1776744601053,1,1,285
1776744602053,1,0,286
1776744603053,0,0,286
1776744604053,2,0,288
1776744605054,2,0,290
1776744606054,0,0,290
1776744607054,2,0,292
1776744608054,1,0,293
1776744609054,1,0,294
1776744610054,1,0,295
1776744611055,1,0,296
1776744612055,0,0,296
1776744613055,2,1,297
1776744614055,1,0,298
1776744615055,1,0,299
1776744616055,2,0,301
1776744617056,1,0,302
1776744618056,1,0,303
1776744619056,2,1,304
1776744620056,1,0,305
1776744621056,1,0,306
1776744622057,2,0,308
1776744623057,1,0,309
1776744624057,1,0,310
1776744625057,1,0,311
1776744626057,1,0,312
1776744627057,0,0,312
1776744628058,1,0,313
1776744629058,1,1,313
1776744630058,0,0,313
1776744631058,2,0,315
1776744632058,1,0,316
1776744633058,2,0,318
1776744634059,1,0,319
1776744635059,2,0,321
1776744636059,1,0,322
1776744637059,1,1,322
1776744638059,1,0,323
1776744639060,1,0,324
1776744640060,1,0,325
1776744641060,2,0,327
1776744642060,1,0,328
1776744643060,2,0,330
1776744644060,2,0,332
1776744645061,0,0,332
1776744646061,2,0,334
1776744647061,1,0,335
1776744648061,1,1,335
1776744649061,0,0,335
1776744650061,1,0,336
1776744651062,1,0,337
1776744652062,1,0,338
1776744653062,1,0,339
1776744654062,1,0,340
1776744655062,1,0,341
1776744656062,1,0,342
1776744657062,2,0,344
